date,extent
26/10/78,10.19591
28/10/78,10.34363
30/10/78,10.46621
01/11/78,10.65538
03/11/78,10.76997
05/11/78,10.96294
07/11/78,11.07076
09/11/78,11.17859
11/11/78,11.2864
13/11/78,11.43779
15/11/78,11.52824
17/11/78,11.68215
19/11/78,11.86471
21/11/78,12.05029
23/11/78,12.25625
25/11/78,12.42519
27/11/78,12.6346
29/11/78,12.62642
01/12/78,12.71966
03/12/78,12.65448
05/12/78,12.77376
07/12/78,13.03615
09/12/78,13.14394
11/12/78,13.42248
13/12/78,13.58004
15/12/78,13.6764
17/12/78,13.80165
19/12/78,13.87787
21/12/78,14.00945
23/12/78,14.21596
25/12/78,14.32445
27/12/78,14.46232
29/12/78,14.57284
31/12/78,14.65194
02/01/79,14.95904
04/01/79,14.89944
06/01/79,14.92329
08/01/79,14.95576
10/01/79,15.17692
12/01/79,15.28193
14/01/79,15.32217
16/01/79,15.48653
18/01/79,15.48689
20/01/79,15.63376
22/01/79,15.63594
24/01/79,15.69387
26/01/79,15.65395
28/01/79,15.72496
30/01/79,15.83591
01/02/79,15.77995
03/02/79,15.7908
05/02/79,15.75836
07/02/79,15.76163
09/02/79,15.96089
11/02/79,16.0739
13/02/79,16.25685
15/02/79,16.28561
17/02/79,16.29849
19/02/79,16.24753
21/02/79,16.18873
23/02/79,16.34118
25/02/79,16.53886
27/02/79,16.51357
01/03/79,16.56457
03/03/79,16.44007
05/03/79,16.53614
07/03/79,16.50202
09/03/79,16.49052
11/03/79,16.44775
13/03/79,16.36341
15/03/79,16.2734
17/03/79,16.4399
19/03/79,16.48191
21/03/79,16.29154
23/03/79,16.21461
25/03/79,16.21149
27/03/79,15.98979
29/03/79,15.7016
31/03/79,15.7537
02/04/79,15.58692
04/04/79,15.55875
06/04/79,15.63092
08/04/79,15.7216
10/04/79,15.68628
12/04/79,15.58667
14/04/79,15.43574
16/04/79,15.38905
18/04/79,15.42268
20/04/79,15.29253
22/04/79,15.22581
24/04/79,15.14942
26/04/79,15.09314
28/04/79,15.07414
30/04/79,14.92781
02/05/79,14.59904
04/05/79,14.48484
06/05/79,14.43827
08/05/79,14.32429
10/05/79,14.13808
12/05/79,14.01811
14/05/79,13.84395
16/05/79,13.87007
18/05/79,13.6907
20/05/79,13.54986
22/05/79,13.51408
24/05/79,13.36157
26/05/79,13.38589
28/05/79,13.31508
30/05/79,13.27718
01/06/79,13.06967
03/06/79,12.97672
05/06/79,12.82769
07/06/79,12.79627
09/06/79,12.84758
11/06/79,12.72399
13/06/79,12.68114
15/06/79,12.5624
17/06/79,12.52218
19/06/79,12.41609
21/06/79,12.37818
23/06/79,12.23685
25/06/79,12.11756
27/06/79,11.97265
29/06/79,11.83225
01/07/79,11.52547
03/07/79,11.36066
05/07/79,11.25018
07/07/79,10.9381
09/07/79,10.78828
11/07/79,10.65426
13/07/79,10.50459
15/07/79,10.40799
17/07/79,10.25292
19/07/79,9.92372
21/07/79,9.92209
23/07/79,9.65742
25/07/79,9.61341
27/07/79,9.53785
29/07/79,9.34761
31/07/79,9.22637
02/08/79,8.9587
04/08/79,8.82573
06/08/79,8.71313
08/08/79,8.58617
10/08/79,8.31571
12/08/79,8.25706
14/08/79,8.09476
16/08/79,7.95817
18/08/79,7.7908
20/08/79,7.64123
22/08/79,7.55051
24/08/79,7.53703
26/08/79,7.40867
28/08/79,7.33542
30/08/79,7.25972
01/09/79,7.2107
03/09/79,7.14521
05/09/79,7.03068
07/09/79,7.04977
09/09/79,7.08571
11/09/79,6.97847
13/09/79,6.99455
15/09/79,6.99622
17/09/79,6.99751
19/09/79,6.90667
21/09/79,6.89236
23/09/79,7.01121
25/09/79,7.04971
27/09/79,7.12245
29/09/79,7.15522
01/10/79,7.36108
03/10/79,7.481
05/10/79,7.73403
07/10/79,7.82308
09/10/79,8.05368
11/10/79,8.09109
13/10/79,8.29054
15/10/79,8.49688
17/10/79,8.91787
19/10/79,9.1243
21/10/79,9.25731
23/10/79,9.44927
25/10/79,9.67205
27/10/79,9.81273
29/10/79,9.76251
31/10/79,9.8948
02/11/79,10.12677
04/11/79,10.16936
06/11/79,10.24534
08/11/79,10.27106
10/11/79,10.47222
12/11/79,10.60018
14/11/79,10.80208
16/11/79,10.9157
18/11/79,11.00424
20/11/79,11.1441
22/11/79,11.34131
24/11/79,11.40839
26/11/79,11.57997
28/11/79,11.8731
30/11/79,12.03884
02/12/79,12.38301
04/12/79,12.45196
06/12/79,12.77548
08/12/79,12.98561
10/12/79,13.08593
12/12/79,13.26632
14/12/79,13.26829
16/12/79,13.31517
18/12/79,13.38258
20/12/79,13.53292
22/12/79,13.59967
24/12/79,13.7687
26/12/79,13.9214
28/12/79,14.07883
30/12/79,14.14173
01/01/80,14.19139
03/01/80,14.28585
05/01/80,14.37888
07/01/80,14.49783
09/01/80,14.57265
11/01/80,14.60732
13/01/80,14.732
15/01/80,14.80601
17/01/80,14.94138
19/01/80,15.10008
21/01/80,15.07299
23/01/80,15.13143
25/01/80,15.19411
27/01/80,15.08403
29/01/80,15.20926
31/01/80,15.42039
02/02/80,15.35608
04/02/80,15.58576
06/02/80,15.69825
08/02/80,15.82487
10/02/80,15.83037
12/02/80,15.9126
14/02/80,15.95672
16/02/80,16.03834
18/02/80,16.06115
20/02/80,16.12833
22/02/80,16.03821
24/02/80,16.06699
26/02/80,16.07274
28/02/80,16.20849
01/03/80,16.14216
03/03/80,16.24377
05/03/80,16.25042
07/03/80,16.24382
09/03/80,16.13976
11/03/80,15.96885
13/03/80,15.94278
15/03/80,15.96792
17/03/80,15.93702
19/03/80,15.96887
21/03/80,15.9035
23/03/80,15.91409
25/03/80,15.89488
27/03/80,15.93206
29/03/80,15.84391
31/03/80,15.76108
02/04/80,15.63291
04/04/80,15.62294
06/04/80,15.65812
08/04/80,15.59991
10/04/80,15.61981
12/04/80,15.59178
14/04/80,15.45567
16/04/80,15.44821
18/04/80,15.3687
20/04/80,15.33226
22/04/80,15.3454
24/04/80,15.20488
26/04/80,15.07456
28/04/80,14.95054
30/04/80,14.81474
02/05/80,14.68472
04/05/80,14.54853
06/05/80,14.4093
08/05/80,14.3072
10/05/80,14.17277
12/05/80,14.00284
14/05/80,13.83277
16/05/80,13.75157
18/05/80,13.66094
20/05/80,13.51722
22/05/80,13.4018
24/05/80,13.3398
26/05/80,13.19886
28/05/80,13.02736
30/05/80,12.90661
01/06/80,12.75621
03/06/80,12.68842
05/06/80,12.61399
07/06/80,12.6072
09/06/80,12.57156
11/06/80,12.4695
13/06/80,12.28458
15/06/80,12.26991
17/06/80,12.14
19/06/80,12.05708
21/06/80,11.99696
23/06/80,11.84058
25/06/80,11.69899
27/06/80,11.58112
29/06/80,11.46333
01/07/80,11.27202
03/07/80,11.06453
05/07/80,10.98225
07/07/80,10.85343
09/07/80,10.69213
11/07/80,10.58249
13/07/80,10.3087
15/07/80,10.2046
17/07/80,9.94606
19/07/80,9.84611
21/07/80,9.77492
23/07/80,9.58978
25/07/80,9.35554
27/07/80,9.1681
29/07/80,9.06415
31/07/80,8.86123
02/08/80,8.72154
04/08/80,8.57831
06/08/80,8.5017
08/08/80,8.32726
10/08/80,8.17053
12/08/80,8.00616
14/08/80,7.79589
16/08/80,7.75251
18/08/80,7.73634
20/08/80,7.68465
22/08/80,7.70729
24/08/80,7.55405
26/08/80,7.57955
28/08/80,7.54516
30/08/80,7.56838
01/09/80,7.53825
03/09/80,7.54866
05/09/80,7.52476
